T_in,u_in
694,0.052095942
721,0.053945534
752,0.05701158
787,0.059402294
689,0.050396316
719,0.052090477
752,0.05436638
792,0.05719789
523,0.007956463
573,0.008717119
623,0.009477775
673,0.010238431
768,0.06456769
768,0.06456769
768,0.06456769
769,0.064651765
770,0.06473584
768,0.06456769
718,0.060364068
718,0.060364068
721,0.060616285
721,0.060616285
720,0.060532212
625,0.051404674
624,0.051322427
625,0.051404674
625,0.051404674
625,0.051404674
753,0.06330661
773,0.064988054
764,0.0642314
762,0.06406326
706,0.058066722
711,0.058477957
712,0.058560207
714,0.0587247
714,0.0587247
662,0.055656005
663,0.055740077
663,0.055740077
663,0.055740077
662,0.055656005
444,0.003518805
440,0.010384966
437,0.017138649
434,0.023846773
430,0.033838164
481,0.003636638
481,0.00513462
481,0.015259658
478,0.025206933
476,0.035028193
582,0.05786499
587,0.034241766
588,0.023009755
422,0.003345125
534,0.004191082
583,0.022915341
613,0.04810867
636,0.009632796
689,0.052235343
655,0.010110419
719,0.054630563
723,0.06078443
623,0.05124018
759,0.06381104
714,0.0587247
663,0.055740077
