T_jacket,catag,reactorlength,sccm,void
523,0.2,0.0054,950,0.907079763
573,0.2,0.0054,950,0.907079763
623,0.2,0.0054,950,0.907079763
673,0.2,0.0054,950,0.907079763
523,1,0.027,950,0.907079763
573,1,0.027,950,0.907079763
673,1,0.027,950,0.907079763
523,1,0.027,190,0.907079763
573,1,0.027,190,0.907079763
623,1,0.027,190,0.907079763
673,1,0.027,190,0.907079763
448,2.8014,0.0773,99.0,0.909077849
448,2.8014,0.0773,295.1,0.909077849
448,2.8014,0.0773,687,0.909077849
448,2.8014,0.0773,985,0.909077849
473,0.04169,0.0013,93.9514,0.919543226
473,0.04169,0.0013,132.99564,0.919543226
473,0.04169,0.0013,397.07446,0.919543226
473,0.04169,0.0013,660.14838,0.919543226
473,0.04169,0.0013,923.2223,0.919543226
523,3.093,0.075,490.9,0.896535175
523,3.093,0.075,490.9,0.896535175
523,3.093,0.075,490.9,0.896535175
423,3.093,0.075,99,0.896535175
523,3.093,0.075,99,0.896535175
523,3.093,0.075,490.9,0.896535175
523,3.093,0.075,985.6,0.896535175
498,0.2002,0.0027,190,0.813973686
498,0.2002,0.0027,950,0.813973686
548,0.2002,0.0027,190,0.813973686
548,0.2002,0.0027,950,0.813973686
773,0.2,0.0054,1050,0.907079763
773,0.2,0.0054,1050,0.907079763
773,0.2,0.0054,1050,0.907079763
773,0.2,0.0054,1050,0.907079763
773,0.2,0.0054,1050,0.907079763
773,0.2,0.0054,1050,0.907079763
723,0.2,0.0054,1050,0.907079763
723,0.2,0.0054,1050,0.907079763
723,0.2,0.0054,1050,0.907079763
723,0.2,0.0054,1050,0.907079763
723,0.2,0.0054,1050,0.907079763
623,0.2,0.0054,1050,0.907079763
623,0.2,0.0054,1050,0.907079763
623,0.2,0.0054,1050,0.907079763
623,0.2,0.0054,1050,0.907079763
623,0.2,0.0054,1050,0.907079763
623,0.2,0.0054,1050,0.907079763
773,0.2,0.0054,1050,0.907079763
773,0.2,0.0054,1050,0.907079763
773,0.2,0.0054,1050,0.907079763
773,0.2,0.0054,1050,0.907079763
723,0.2,0.0054,1050,0.907079763
723,0.2,0.0054,1050,0.907079763
723,0.2,0.0054,1050,0.907079763
723,0.2,0.0054,1050,0.907079763
723,0.2,0.0054,1050,0.907079763
723,0.2,0.0054,1050,0.907079763
673,0.2,0.0054,1050,0.907079763
673,0.2,0.0054,1050,0.907079763
673,0.2,0.0054,1050,0.907079763
673,0.2,0.0054,1050,0.907079763
673,0.2,0.0054,1050,0.907079763
673,0.2,0.0054,1050,0.907079763
623,1,0.027,950,0.9071
448,2.8014,0.0773,490.9,0.9091
723,0.2,0.0054,1050,0.9071
773,0.2,0.0054,1050,0.9071
