H2,CO2,CH4,H2O,Ar,totalpressure
720,180,,,50,0.812
720,180,,,50,0.815
720,180,,,50,0.803
720,180,,,50,0.807
720,180,,,50,0.836
720,180,,,50,0.845
720,180,,,50,0.848
144,36,,,10,0.824
144,36,,,10,0.815
144,36,,,10,0.82
144,36,,,10,0.822
77.6,19.4,,,1.98,0.8
231.4,57.8,,,5.9,0.801
538.6,134.7,,,13.7,0.801
772.2,193.1,,,19.7,0.802
72.3318,19.7887,,,1.8309,0.797
103.4837,26.8748,,,2.63714,0.798
310.4931,78.5021,,,8.07926,0.802
516.4976,130.1294,,,13.52138,0.802
722.5021,181.7567,,,18.9635,0.804
384.9,96.2,,,9.8,0.255
384.9,96.2,,,9.8,0.506
384.9,96.2,,,9.8,0.804
77.6,19.4,,,2,0.8
77.6,19.4,,,2,0.809
384.9,96.2,,,9.8,0.8
772.8,193.1,,,19.7,0.805
144,36,,,10,0.804
720,180,,,50,0.803
144,36,,,10,0.787
720,180,,,50,0.801
,,500,500,50,0.804
,,500,250,300,0.802
,,500,166.7,383.3,0.801
,,500,125,425,0.795
,,500,100,450,0.795
,,500,62.5,487.5,0.796
,,500,500,50,0.799
,,500,250,300,0.798
,,500,166.7,383.3,0.797
,,500,100,450,0.796
,,500,62.5,487.5,0.794
,,250,500,300,0.818
,,200,500,350,0.821
,,150,500,400,0.821
,,100,500,450,0.821
,,50,500,500,0.826
,,25,500,525,0.821
,,250,500,300,0.797
,,200,500,350,0.806
,,150,500,400,0.804
,,25,500,525,0.807
,,250,500,300,0.81
,,200,500,350,0.834
,,150,500,400,0.807
,,100,500,450,0.82
,,50,500,500,0.816
,,25,500,525,0.829
,,250,500,300,0.786
,,200,500,350,0.794
,,150,500,400,0.816
,,100,500,450,0.799
,,50,500,500,0.802
,,25,500,525,0.803
720,180,,,50,0.847
384.9,96.2,,,9.8,0.802
,,500,125,425,0.793
,,100,500,450,0.806
